locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Gorzsa Cukormajor (Csongrád-Csanád County, Hódmezővásárhely)",AllentoftWillerslevNature2024,1,"10,000-5,000 BP",7,9,0.2500680088996887,46.36899999999999,20.424000000000003,europe,4550.848900652363
"Ansarve (Gotland County, Tofta area)",Sánchez-QuintoJakobssonPNAS2019,1,"10,000-5,000 BP",5,9,0.2501867115497589,57.509,18.14,europe,5664.161633333563
"Derenburg-Meerenstieg-2 (Sachsen-Anhalt, Sachsen-Anhalt, Harz)",ChildebayevaHaakMolBiolEvol2022,1,"10,000-5,000 BP",32,492,0.250347763299942,51.87,10.91,europe,5472.676900590754
"Mandubi Zelaia (Basque Country, Gipuzkoa, Ezkio-Itsaso)",OlaldeReichScience2019,1,"10,000-5,000 BP",5,10,0.25052881240844727,43.085823,-2.251197,europe,6193.862920339036
"Berezhnovka-2 (Volgograd Oblast, Nikolayevsky District, Berezhnovka Village)",LazaridisReichNature2025,1,"10,000-5,000 BP",4,6,0.25065380334854126,50.303869,45.784869,asia,5018.927173081827
"Rössberga (Götaland, Västergötland)",MalmströmJakobssonProcBiolSci2019; SeersholmSikoraNature2024,1,"10,000-5,000 BP",17,37,0.25066590309143066,58.183333,13.65,europe,5861.042299786662
"Yunatsite (Pazardzhik Province, Pazardzhik Municipality)",MathiesonReichNature2018; PenskeHaakNature2023,1,"10,000-5,000 BP",19,168,0.25080955028533936,42.232226999999995,24.262688000000004,europe,4038.1556211798797
"Menteşe (Marmara, Bursa, Yenişehir)",LazaridisReichNature2025; LazaridisReichScience2022; MathiesonReichNature2015,1,"10,000-5,000 BP",5,8,0.250818133354187,40.26,29.65,asia,3593.3420295041833
"Mérnöki-telep (Tolna County, Szekszárd)",AkbariReichNature2026; LipsonReichNature2017; MathiesonReichNature2015,1,"10,000-5,000 BP",5,10,0.25089162588119507,46.208562,18.700047,europe,4644.228951706382
"Grotte-du-Rouquet (Occitanie Region, Aude Department, Narbonne Arrondissement, La Clape)",Seguin-OrlandoOrlandoCurrBiol2021,1,"10,000-5,000 BP",6,15,0.2509700059890747,43.177669,3.062455,europe,5762.906841782473
"Schwetzingen (Baden-Württemberg, Karlsruhe, Rhein-Neckar-Kreis)",RivollatHaakSciAdv2020,1,"10,000-5,000 BP",10,11,0.2510792315006256,49.39,8.569999999999999,europe,5476.395944167643
"Balatonlelle-Felső-Gamász (Somogy County, Fonyód)",GerberSzécsényi-NagyMolBiolEvol2023; LipsonReichNature2017,1,"10,000-5,000 BP",5,5,0.2511254847049713,46.78469,17.731714,europe,4741.581493109974
"Tiszadob-Ó-Kenéz (Szabolcs-Szatmár-Bereg County, Tiszavasvári)",LipsonReichNature2017,1,"10,000-5,000 BP",4,6,0.2511390447616577,48.00363,21.17651,europe,4646.128384310858
"Geoksyur (Ahai Region, Tejen)",DamgaardWillerslevScience2018; NarasimhanReichScience2019,1,"10,000-5,000 BP",22,129,0.25116509199142456,37.1907,61.03430000000001,asia,5326.742538806513
"Les Llometes (Valencian Community, Alicante, Alcoi)",OlaldeReichScience2019,1,"10,000-5,000 BP",11,17,0.2513786256313324,38.70249999999999,-0.4863099999999999,europe,6132.90561892054
"Çatalhöyük (Konya, Çumra)",YakaSomelCurrBiol2021; YüncüSomelScience2025,1,"10,000-5,000 BP",119,414,0.2513960003852844,37.666100000000036,32.82569999999998,asia,3314.8320820527147
"Aven de la Boucle (Occitanie Region, Gard Department, Corconne)",ArzelieriPruvostProcBiolSci2024,1,"10,000-5,000 BP",21,120,0.25140997767448425,43.519999999999996,3.56,europe,5721.9167301937505
"Popova-zemlja (Osijek-Baranja County, Grad Beli Manastir)",FreilichPinhasiSciRep2021; MathiesonReichNature2018,1,"10,000-5,000 BP",17,136,0.25144100189208984,45.7663,18.5717,europe,4625.778534000977
"'Ain Ghazal (Amman, Sahab)",LazaridisReichNature2016; LazaridisReichNature2025; LazaridisReichScience2022,1,"10,000-5,000 BP",9,21,0.25144603848457336,31.988,35.976,asia,2969.1465064414274
"Campo de Hockey (Andalusia, Cádiz, San Fernando)",OlaldeReichScience2019,1,"10,000-5,000 BP",6,5,0.2514650225639343,36.445,-6.21,europe,6689.737262023887
"Halberstadt-Sonntagsfeld (Saxony-Anhalt, Harz)",AkbariReichNature2026; LipsonReichNature2017; RivollatHaakSciAdv2020,1,"10,000-5,000 BP",31,197,0.2514876425266266,51.89583300000001,11.046667000000003,europe,5466.829140252587
"Hajji Firuz (West Azerbaijan Province, Naqadeh County)",AkbariReichNature2026; LazaridisReichScience2022; NarasimhanReichScience2019,1,"10,000-5,000 BP",5,6,0.25154343247413635,36.9944,45.4744,asia,3994.5446522426737
Leiria - Cova das Lapas (Largo das Catacumbas),Roca-RadaTeixeiraGenomeBiol2025,1,"10,000-5,000 BP",11,55,0.25160282850265503,39.49400000000001,-8.551999999999998,europe,6782.686849821786
