locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Geoksyur (Ahai Region, Tejen)",DamgaardWillerslevScience2018; NarasimhanReichScience2019,1,"10,000-5,000 BP",22,129,0.251165,37.1907,61.03430000000001,asia,5326.7
"Les Llometes (Valencian Community, Alicante, Alcoi)",OlaldeReichScience2019,1,"10,000-5,000 BP",11,17,0.251379,38.70249999999999,-0.4863099999999999,europe,6132.9
"Çatalhöyük (Konya, Çumra)",YakaSomelCurrBiol2021; YüncüSomelScience2025,1,"10,000-5,000 BP",119,414,0.251396,37.666100000000036,32.82569999999998,asia,3314.8
"Aven de la Boucle (Occitanie Region, Gard Department, Corconne)",ArzelieriPruvostProcBiolSci2024,1,"10,000-5,000 BP",21,120,0.25141,43.519999999999996,3.56,europe,5721.9
"Popova-zemlja (Osijek-Baranja County, Grad Beli Manastir)",FreilichPinhasiSciRep2021; MathiesonReichNature2018,1,"10,000-5,000 BP",17,136,0.251441,45.7663,18.5717,europe,4625.8
"'Ain Ghazal (Amman, Sahab)",LazaridisReichNature2016; LazaridisReichNature2025; LazaridisReichScience2022,1,"10,000-5,000 BP",9,21,0.251446,31.988,35.976,asia,2969.1
"Campo de Hockey (Andalusia, Cádiz, San Fernando)",OlaldeReichScience2019,1,"10,000-5,000 BP",6,5,0.251465,36.445,-6.21,europe,6689.7
"Halberstadt-Sonntagsfeld (Saxony-Anhalt, Harz)",AkbariReichNature2026; LipsonReichNature2017; RivollatHaakSciAdv2020,1,"10,000-5,000 BP",31,197,0.251488,51.89583300000001,11.046667000000003,europe,5466.8
"Hajji Firuz (West Azerbaijan Province, Naqadeh County)",AkbariReichNature2026; LazaridisReichScience2022; NarasimhanReichScience2019,1,"10,000-5,000 BP",5,6,0.251543,36.9944,45.4744,asia,3994.5
Leiria - Cova das Lapas (Largo das Catacumbas),Roca-RadaTeixeiraGenomeBiol2025,1,"10,000-5,000 BP",11,55,0.251603,39.49400000000001,-8.551999999999998,europe,6782.7
"Mittelfeld-Rosenmeer (Grand Est Region, Bas-Rhin Department, Molsheim Arrondissement, Rosheim)",BrunelPruvostPNAS2020,1,"10,000-5,000 BP",4,5,0.251638,48.49666,7.47052,europe,5513.7
"Port Blanc (Bretagne Region, Morbihan Department, Lorient Arrondissement, Saint-Pierre Quiberon)",PattersonReichNature2021,1,"10,000-5,000 BP",5,10,0.251652,47.523479,-3.154599,europe,6264.0
"Lugar do Canto (Santarém, Valverde)",MartinianoBradleyPLosGenet2017,1,"10,000-5,000 BP",4,6,0.251692,39.414,-8.822,europe,6807.4
"Khvalynsk-1 (Saratov Oblast, Khvalynsky District, Khvalynsk Town)",AkbariReichNature2026; LazaridisReichNature2025,1,"10,000-5,000 BP",5,10,0.251777,52.3533694,48.0783667,asia,5297.0
