master_id1,master_id2,genetic_id1,genetic_id2,site_overlap,site_mismatches,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,annotation,notes
I7342,I7343,NEO248.SG,I20756.AG,460976,50819.0,0.110242,0.109339,0.11115,SikoraNature2019,HarneyCheronetGenomeResearch2021 (new version of data from FlegontovNature2019),"Mos91 (Specimen 10, 156)","Mos92 [(Specimen 167, 189, MDE, FR15120017) | (Specimen 167, 189, WTR, FR15120053)]","348 calBCE - 24 calCE (2091±47 BP, UBA-34056)","970-1210 calCE (1760±15 BP, PSUAMS-5476)",Russia_Ekven_OldBeringSea.SG,Russia_Ekven_OldBeringSea.AG,"Ekven (Chukotka Autonomous Okrug, Chukotsky District)","Ekven (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,diff_pub;unidentified_in_pub,
UKY001,KPT002,UKY001.AG,KPT002_v62.SG,232751,25910.0,0.111321,0.110046,0.112605,YuCell2020,YuCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","12100-11858 calBCE (12065±37 BP) [R_combine: (11505±100 BP), (12136±54 BP), (12151±58 BP)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_EastSiberia_UstKyakhta_UP_dup.KPT002.AG,Russia_Siberia_Lena_EBA.SG,"Ust'-Kyakhta (Buryatia, Kyakhtinsky District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,same_pub;diff_site;unidentified_in_pub;identified_in_aadr_group_id;potential_aadr_skeletal_code_match,
GLN243A,GLN266,GLN243A.AG.SG,GLN266.AG,38277,4279.0,0.11179,0.10865,0.11499,RivollatNature2023,RivollatNature2023,GLN243A,GLN266,"4840-4615 calBCE (5870±40 BP, Lyon-4444 )",5300-3900 BCE,France_N.AG.SG,France_N_1d.rel.GLN325.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France,gurgy;same_pub,
I5407,NEO669,I5407.AG,NEO669.SG,209926,23641.0,0.112616,0.111267,0.113976,MathiesonNature2018,AllentoftNature2024,"LEPI_126 (Lepenski-Vir, burial 126)","CGG_2_018594 (F1509, Lepenski-Vir, burial 126)",6300-5800 BCE,8300-7400 BCE,Serbia_IronGates_Mesolithic.AG,Serbia_IronGates_Mesolithic_dup.I5407.SG,"Lepenski-Vir (Bor District, Majdanpek Municipality, Boljetin)","Lepenski-Vir (Bor District, Majdanpek Municipality, Boljetin)",Serbia,Serbia,diff_pub;identified_in_pub;identified_in_aadr_group_id;potential_aadr_skeletal_code_match,
UC12_25,UC8-8173,UC12_25.SG,UC8-8173.SG,947064,107183.0,0.113174,0.112537,0.113814,BongersPNAS2020,BongersPNAS2020,UC12_25,UC8-8173,1250-1500 CE,1400-1500 CE,Peru_Chincha_LH.SG,Peru_Chincha_LH.SG,Chincha,SouthCoast,Peru,Peru,chincha;same_pub;identified_in_pub_as_unrelated,
GLN280,GLN305,GLN280.AG.SG,GLN305.AG,32154,3639.0,0.113174,0.109731,0.116687,RivollatNature2023,RivollatNature2023,GLN280,GLN305,5300-3900 BCE,5300-3900 BCE,France_N.AG.SG,France_N_father.or.son.GLN291.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France,gurgy;same_pub,
GLN220,GLN260,GLN220.AG.SG,GLN260.AG,33657,3825.0,0.113646,0.110274,0.117085,RivollatNature2023,RivollatNature2023,GLN220,GLN260,"4542-4363 calBCE (5635±35 BP, Lyon-4680 )",5300-3900 BCE,France_N.AG.SG,France_N_brother.GLN241_1d.rel.GLN319.AG,"Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)","Gurgy Les Noisats (Bourgogne-Franche-Comté Region, Yonne Department, Auxerre arrondissement)",France,France,gurgy;same_pub,
I1525,NEO234,I1525.AG,NEO234.SG,32556,3700.0,0.11365,0.110222,0.117148,FlegontovNature2019,SikoraNature2019,"Mos99 (Specimen 13, 172)",NEO234,"60-450 calCE (2560±20 BP, PSUAMS-1962)","975-801 calBCE (2714±44 BP, UBA-34048)",Russia_Uelen_OldBeringSea.AG,Russia_Uelen_IA.SG,"Uelen (Chukotka Autonomous Okrug, Chukotsky District)","Uelen (Chukotka Autonomous Okrug, Chukotsky District)",Russia,Russia,diff_pub;unidentified_in_pub,
RISE554,NEO70,RISE554.SG,NEO70.SG,69037,7967.0,0.115402,0.113027,0.117809,AllentoftNature2015,AllentoftNature2024,"(CGG_2_011884, Afontova-Gora)","CGG_2_011861 (SR-8461, Bazaiha, ind. 4)","1009-835 calBCE (2782±30 BP, OxA-31141)","1192-936 calBCE (2880±25 BP, UCIAMS-147675)",Russia_Yenisei_LBA_2.SG,Russia_Yenisei_LBA_Karasuk.SG,"Afontova-Gora (Krasnoyarsk Krai, Krasnoyarsk municipality)","Bazaikha (Krasnoyarsk Krai, Krasnoyarsk municipality)",Russia,Russia,diff_pub;diff_site;identified_in_pub,
NEO73,I1960,NEO73.SG,I1960.DG,642507,74749.0,0.11634,0.115557,0.117126,AllentoftNature2024,RohlandMallickGenomeResearch2022 (deep shotgun version of individual originally reported in NarasimhanPattersonScience2019),"CGG_2_015790 (IPOS_RAS_116-2, Mergen-6, burial 1)","Tyumen50 (Kurgan 6, Mergen 6)","6370-6034 calBCE (7317±62 BP, UBA-39946)","6329-6079 calBCE (7343±29 BP) [R_combine: (7330±40 BP, Poz-82198), (7355±40 BP, OxA-33489)]",Russia_Ob_EN_KoshkinoBoborykino.SG,Russia_Tyumen_HG.DG,"Mergen-6 (Tyumen Oblast, Ishimsky District)","Mergen-6 (Tyumen Oblast, Ishimsky District)",Russia,Russia,diff_pub;identified_in_pub;potential_aadr_skeletal_code_match,
NEO539,MNN006,NEO539.SG,MNN006.AG,171523,19959.0,0.116363,0.114849,0.11789,AllentoftNature2024,PosthYuNature2023,"CGG_2_018397 (Minino-1, burial 20)","(Minino-1, burial 20)","8799-8623 calBCE (9428±32 BP, OxA-16198; OxA-16199; UBA-40062)","8799-8625 calBCE (9431±31 BP, MAMS-39009)",Russia_Minino_Mesolithic.SG,Russia_Minino_Mesolithic.AG,"Minino 1 (Vologda Oblast, Vologda District, Minino Village)","Minino 1 (Vologda Oblast, Vologda District, Minino Village)",Russia,Russia,diff_pub;unidentified_in_pub,
PES001,NEO202,PES001.SG,NEO202.SG,1065828,124110.0,0.116445,0.115836,0.117055,SaagMetspaluScience2021,AllentoftNature2024,"PES001 (Peschanitsa, single burial)","CGG_2_017445|N28 (Peschanitsa, 1986)","10813-10672 calBCE (10728±59 BP, UBA-41633)","9858-9331 calBCE (10030±56 BP, UBA-40011)",Russia_Mesolithic_Veretye.SG,Russia_Mesolithic_Veretye.SG,"Peschanitsa (Arkhangelsk Oblast, Kargopolsky District)","Peschanitsa (Arkhangelsk Oblast, Kargopolsky District)",Russia,Russia,diff_pub;identified_in_pub,
I2483,I2484,I2483.AG,I2484.AG,300049,35141.0,0.117118,0.115969,0.118273,TeschlerNicolaCommunicationsBiology2020,TeschlerNicolaCommunicationsBiology2020,"KR1-1 (Krems1-1, Krems-Wachtberg 2015, 151416, Subnr 0, Mensch, GH 26, AH 4.3, QM C3, Individuum 1)","Krems1-2 (Krems-Wachtberg 2015, 151554, Subnr 0, Mensch, GH 26, AH 4.3, QM C3, Individuum 2)","29094-27342 calBCE (25950±450 BP, PSUAMS-14476)",29200-27300 BCE,Austria_Gravettian.AG,Austria_Gravettian_twin.I2483.AG,"Krems-Wachtberg (Niederösterreich, Krems an der Donau(Stadt), Innenstadt)","Krems-Wachtberg (Niederösterreich, Krems an der Donau(Stadt), Innenstadt)",Austria,Austria,same_pub;identified_in_pub_as_identical_twins;identified_in_aadr_group_id_as_identical_twins,
