individual_id1,individual_id2,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,lat1,lon1,lat2,lon2
I12491,NEO210,I12491.AG,NEO210.SG,53960,0.12752,0.124732,0.130361,LazaridisReichNature2025,AllentoftWillerslevNature2024,"Gr. 8,  ГК-15 П.8, Juvenis (MOS305, 651)","CGG_2_017453|GK-8 (Golubaya-Krinitsa, 2015, burial 8)","5557-5381 calBCE (6520±30 BP, PSUAMS-8936)","5664-5540 calBCE (6687±29 BP, OxA-39311)",Russia_Voronezh_N,Russia_Voronezh_N_Mariupol,"Golubaya-Krinitsa (Voronezh Oblast, Rossoshansky District, Golubaya Krinitsa Village)","Golubaya-Krinitsa (Voronezh Oblast, Rossoshansky District, Golubaya Krinitsa Village)",Russia,Russia,50.0913528,39.8945111,50.0913528,39.8945111
NEO62,BOO008,NEO62.SG,BOO008.AG,584427,0.128196,0.127341,0.129055,AllentoftWillerslevNature2024,ChildebayevaHaakCommunBiol2024,"CGG_2_015779 ( 7265-3, Bolshoy-Oleniy-Ostrov)","Bolshoy-Oleniy-Ostrov, grave 15, skeleton 1","1687-1461 calBCE (3301±40 BP, UBA-39939)",2050-1500 BCE,Russia_Murmansk_MBA,Russia_BolshoyOleniyOstrov_MBA,"Bolshoy-Oleniy-Ostrov (Murmansk Oblast, Alexandrovsk Municipality)","Bolshoy-Oleniy-Ostrov (Murmansk Oblast, Alexandrovsk Municipality)",Russia,Russia,69.2239,33.4828,69.2239,33.4828
I8455,MUR017,I8455.AG,MUR017.AG,199994,0.128639,0.127179,0.130113,ZengReichNature2025,PosthKrauseNature2023,Murzikha II B128 skeleton 2 (Murzikha II; B128 skeleton 2),"(Murzikha-2, burial 128, skeleton 2)","4446-4274 calBCE (5515±30 BP, PSUAMS-8293)",4550-4400 BCE,Russia_Tatarstan_Eneolithic,Russia_Tatarstan_Eneolithic,"Murzikha-2 (Tatarstan, Alexeyevsky District, Mokrye Kurnali Village)","Murzikha-2 (Tatarstan, Alexeyevsky District, Mokrye Kurnali Village)",Russia,Russia,55.3419,50.0173,55.3419,50.0173
Sumidouro6,Sumidouro4,Sumidouro6_d.SG,Sumidouro4_d.SG,87701,0.128904,0.126702,0.131138,Moreno-MayarWillerslevScience2018,Moreno-MayarWillerslevScience2018,"SH-10, ZMK1/1845:2350","SH-16, ZMK1/1845:1510, 8","8281-7956 calBCE (8990±50 BP, OxA-33337)","8290-7961 calBCE (9015±45 BP, OxA-33336)",Brazil_CentralMinasGerais_EarlyHolocene_10100BP_HG,Brazil_CentralMinasGerais_EarlyHolocene_10100BP_HG,"Caverna do Sumidouro (Central Minas Gerais, Lagoa Santa)","Caverna do Sumidouro (Central Minas Gerais, Lagoa Santa)",Brazil,Brazil,-19.54,-43.94,-19.54,-43.94
CGG_2_105604,CGG_2_105629,CGG_2_105604.SG,CGG_2_105629.SG,53514,0.129069,0.126255,0.131936,McCollWillerslevBioRxiv2025,McCollWillerslevBioRxiv2025,"A5186/T18863, Sund box A cranium A","A5186/T18863, Sund box D Sund 4-5 nr 9, 18","1875-1686 calBCE (3730±94 BP, UCIAMS-282658)",1400-1100 calBCE (3200±150 BP),Norway_Sund_LN_EBA,Norway_Sund_EBA,Sund (Central Norway/ Trøndelag),Sund (Central Norway/ Trøndelag),Norway,Norway,63.8604,11.307,63.8604,11.307
I32369,ROT004,I32369.TW,ROT004.AG,185994,0.129628,0.128109,0.131162,ZengReichNature2025,ChildebayevaHaakCommunBiol2024,"TOM089 (Tomsk State University, KATGU3332, burial 8, ind. 3)","Rostovka, grave 8, skeleton 2 (lower)",2300-1700 BCE,"2202-1983 calBCE (3709±34 BP, UBA-31381)",Russia_Omsk_EMBA_Irtysh_SeimaTurbino-oYamnaya,Russia_Rostovka_EMBA_Irtysh_SeimaTurbino,"Rostovka (Omsk Oblast, Omsk District, Rostovka Village)","Rostovka (Omsk Oblast, Omsk District, Rostovka Village)",Russia,Russia,55.029025,73.572794,55.029025,73.572794
CGG_2_105634,CGG_2_105635,CGG_2_105634.SG,CGG_2_105635.SG,72463,0.12979,0.127363,0.132257,McCollWillerslevBioRxiv2025,McCollWillerslevBioRxiv2025,A3728/T12775,A3728/T12775,1700-500 calBCE (3050±600 BP),"1433-1299 calBCE (3316±67 BP, UCIAMS-272872)",Norway_Bergvin_EBA,Norway_Bergvin_EBA,Bergvin (Central Norway/ Trøndelag),Bergvin (Central Norway/ Trøndelag),Norway,Norway,63.74603,11.2983,63.74603,11.2983
NV3001,NV3001_NV3002,NV3001.AG,NV3001_NV3002.AG,609939,0.129852,0.129011,0.130698,WangHaakNatComm2019,GhalichiHaakNature2024,"BZNK-312/1 (Nevinnomyssky-3, kurgan 6, burial 5)","Kurgan 6, Grave 5",2150-1900 BCE,2150-1900 BCE,Russia_StavropolKrai_BA_Steppe_Lola,Russia_MLBA_Caucasus,"Nevinnomyskiy-3 (Stavropol Krai, Kochubeyevsky District)","Nevinnomyskiy-3 (Stavropol Krai, Kochubeyevsky District)",Russia,Russia,44.73486,41.938749,44.73486,41.938749
CGG_2_107741,CGG_2_107748,CGG_2_107741.SG,CGG_2_107748.SG,73738,0.129933,0.127525,0.132379,McCollWillerslevBioRxiv2025,McCollWillerslevBioRxiv2025,"CL029 (Ind 69, E13)",CL029 (I018),"16-125 calCE (1880±54 BP, DeA-39656)","16-125 calCE (1880±54 BP, DeA-39656)",Netherlands_ValkenburgMarktveld_Roman,Netherlands_ValkenburgMarktveld_Roman,Valkenburg Marktveld (Province South-Holland),Valkenburg Marktveld (Province South-Holland),Netherlands,Netherlands,52.174446,4.436957,52.174446,4.436957
CGG_2_105604,CGG_2_105606,CGG_2_105604.SG,CGG_2_105606.SG,30025,0.129992,0.126235,0.133843,McCollWillerslevBioRxiv2025,McCollWillerslevBioRxiv2025,"A5186/T18863, Sund box A cranium A","A5186/T18863, Sund box A cranium A","1875-1686 calBCE (3730±94 BP, UCIAMS-282658)",1400-1100 calBCE (3200±150 BP),Norway_Sund_LN_EBA,Norway_Sund_EBA,Sund (Central Norway/ Trøndelag),Sund (Central Norway/ Trøndelag),Norway,Norway,63.8604,11.307,63.8604,11.307
